Serial_No,car_name,car_price,car_driven,fuel_type,tranmiion,ownerhip,manufacture,engine,seat
3037,Maruti Zen Etilo LXI BIII,1,"1,10,000 ",Petrol,Manual,3rd Owner,2008,1950,8
3038,Mercede-Benz GLE 250d,44,"49,000",Dieel,Automatic,1t Owner,2017,1498,5
3039,Tata afari torme VX,3.2,"1,45,000 ",Dieel,Manual,3rd Owner,2013,998,5
3040,Maruti Ertiga ZDI,5,"40,000",Dieel,Manual,2nd Owner,2012,2494,5
3041,Volkwagen Vento IPL II Petrol Trendline,1.25,"1,00,000 ",Petrol,Manual,3rd Owner,2010,1995,5
3042,Mercede-Benz E-Cla Expreion E 220 d BIV,58,"17,000",Dieel,Automatic,1t Owner,2020,1396,5
3043,Volkwagen Polo Exquiite 1.5 TDI Highline,4.9,"1,00,000 ",Dieel,Manual,1t Owner,2015,1198,7
3044,Maruti Wagon R VXI B IV,1.9,"1,00,000 ",Petrol,Manual,1t Owner,2011,1396,4
3045,Toyota Innova 2.5 G (Dieel) 8 eater,6,"1,20,000 ",Dieel,Manual,2nd Owner,2013,1950,8
3046,BMW X3 xDrive 20d Luxury Line,60,"19,000",Dieel,Automatic,1t Owner,2021,1997,5
3047,Hyundai i20 portz 1.4 CRDi,6.5,"60,000",Dieel,Manual,2nd Owner,2017,796,7
3048,Nian Micra Active XV Petrol,4,"25,000",Petrol,Manual,1t Owner,2018,2179,5
3049,Tata Indigo LX BIV,1.85,"1,00,000 ",Dieel,Manual,1t Owner,2012,1997,5
3050,Mercede-Benz GLC Coupe 300d 4MATIC,71.5,"24,900",Dieel,Automatic,1t Owner,2021,1498,7
3051,Mahindra corpio 1.99 10 4WD,10,"70,000",Dieel,Manual,1t Owner,2015,1120,5
3052,Maruti 800 AC,2,"70,000",Petrol,Manual,1t Owner,2014,999,7
3053,Mahindra corpio 2.6 CRDe,3.5,"1,00,000 ",Dieel,Manual,2nd Owner,2006,4461,8
3054,Jaguar XF 2.0 Petrol Pretige,47,"7,500",Petrol,Automatic,1t Owner,2020,1248,5
3055,Mahindra Bolero B4,5.8,"1,10,000 ",Dieel,Manual,1t Owner,2020,2982,5
3056,Hyundai Xcent 1.1 CRDi Bae,3.1,"70,000",Dieel,Manual,2nd Owner,2015,2494,5
3057,Renault Kiger RXZ,7.5,"35,000",Petrol,Manual,1t Owner,2021,1993,5
3058,Toyota Land Cruier VX,1.58 Crore,"56,000",Dieel,Automatic,1t Owner,2018,1199,5
3059,Maruti wift Dzire ZDI,5.35,"74,200",Dieel,Manual,2nd Owner,2017,1047,5
3060,Toyota Fortuner 4x2 Manual,15,"1,20,000 ",Dieel,Manual,2nd Owner,2016,998,5
3061,Toyota Innova 2.5 EV Dieel M 8 tr BIII,3,"1,69,000 ",Dieel,Manual,3rd Owner,2007,2925,7
3062,Mercede-Benz C-Cla C 220d,62,"4,000",Dieel,Automatic,1t Owner,2022,796,7
3063,Volkwagen Polo Dieel Trendline 1.2L,1.3,"90,000",Dieel,Manual,3rd Owner,2010,1086,5
3064,Tata Tiago 1.05 Revotorq XT,3,"1,20,000 ",Dieel,Manual,1t Owner,2017,1461,5
3065,Maruti A-tar Lxi,1.15,"70,000",Petrol,Manual,2nd Owner,2009,2925,5
3066,Mercede-Benz -Cla  350 d,47.75,"13,000",Dieel,Automatic,2nd Owner,2014,814,5
3067,Maruti Alto LXI,"70,000","70,000",Petrol,Manual,3rd Owner,2004,1582,5
3068,Hyundai antro Xing XG AT eRLX Euro III,"90,000","60,000",Petrol,Automatic,4th Owner,2004,1197,4
3069,Renault Lodgy 110P RxZ 7 eater,4.5,"1,10,000 ",Dieel,Manual,3rd Owner,2015,2993,5
3070,Mercede-Benz GL 400d 4MATIC,1.17 Crore,"15,000",Dieel,Automatic,2nd Owner,2020,1197,7
3071,Hyundai EON D Lite,1.75,"30,000",Petrol,Manual,1t Owner,2013,796,5
3072,Hyundai Verna 1.6 CRDi X,7,"1,15,000 ",Dieel,Manual,2nd Owner,2015,796,7
3073,Maruti Baleno Delta,6.5,"15,000",Petrol,Manual,1t Owner,2019,2967,5
3074,BMW X5 xDrive 30d xLine,83,"25,000",Dieel,Automatic,1t Owner,2020,1396,7
3075,Maruti Igni 1.2 AMT Zeta BIV,5,"80,000",Petrol,Automatic,1t Owner,2018,2523,5
3076,Maruti 800 td BII,"84,000","29,000",Petrol,Manual,1t Owner,2002,1197,7
3077,Maruti Alto 800 VXI,3,"70,000",Petrol,Manual,1t Owner,2019,2987,5
3078,Audi Q7 45 TDI Quattro Technology,46,"65,000",Dieel,Automatic,1t Owner,2017,999,7
3079,Hyundai i20 1.4 Ata CRDi with AVN,2,"1,10,000 ",Dieel,Manual,4th Owner,2009,2523,5
3080,Mahindra Bolero LX,3.4,"1,00,000 ",Dieel,Manual,4th Owner,2012,1995,5
3081,Maruti Baleno 1.2 Alpha,5.5,"60,000",Petrol,Manual,1t Owner,2018,2494,5
3082,Mercede-Benz GL 350d Grand Edition,59.5,"45,000",Dieel,Automatic,2nd Owner,2016,1248,5
3083,Volkwagen Taigun 1.0 TI Topline,13,"5,000",Petrol,Manual,1t Owner,2022,1396,5
3084,Mahindra Bolero ZLX,4.7,"60,000",Dieel,Manual,2nd Owner,2014,2143,5
3085,BMW 5 erie 520d Luxury Line,48,"29,000",Dieel,Automatic,1t Owner,2019,1396,5
3086,Toyota Innova 2.5 E 7 TR,4.25,"2,00,000 ",Dieel,Manual,2nd Owner,2012,1405,5
3087,Maruti wift VDI BIV,3.5,"1,10,000 ",Dieel,Manual,1t Owner,2015,1498,5
3088,Tata Indigo LX BIV,2.4,"1,20,000 ",Dieel,Manual,1t Owner,2015,1950,5
3089,Mercede-Benz GLE 250d,56,"45,000",Dieel,Automatic,1t Owner,2019,2925,5
3090,Tata Indigo GLX,1.15,"25,000",Petrol,Manual,1t Owner,2009,1968,7
3091,Tata Indigo LX,"70,000","80,000",Dieel,Manual,2nd Owner,2006,998,5
3092,Ford Ecoport 1.5 Dieel Titanium BIV,6.5,"70,000",Dieel,Manual,1t Owner,2018,2995,5
3093,Mercede-Benz C-Cla Progreive C 200,47.9,"11,000",Petrol,Automatic,1t Owner,2021,1493,5
3094,Mercede-Benz GLE 400d,1.04 Crore,"12,000",Dieel,Automatic,1t Owner,2021,1598,5
3095,Audi A6 35 TDI,24.9,"40,000",Dieel,Automatic,2nd Owner,2016,998,5
3096,Maruti Wagon R VXI,5.21,"7,500",Petrol,Manual,1t Owner,2021,1998,5
3097,Land Rover Range Rover 3.0 Petrol LWB Vogue BIV,1.92 Crore,"40,000",Petrol,Automatic,1t Owner,2019,796,5
3098,Mahindra Bolero Power Plu LX,6,"50,000",Dieel,Manual,1t Owner,2018,1248,7
3099,Volkwagen Vento Dieel Highline,2.5,"80,000",Dieel,Manual,2nd Owner,2010,1998,5
3100,Maruti Celerio VXI,3.46,"40,000",Petrol,Manual,1t Owner,2017,1995,5
3101,Volvo XC60 B5 Incripition,68.5,"7,000",Petrol,Automatic,1t Owner,2022,1493,5
3102,Maruti 800 DUO AC LPG,"70,000","60,000",Lpg,Manual,3rd Owner,2010,1799,7
3103,Maruti wift VDI Optional,6,"40,000",Dieel,Manual,1t Owner,2018,1197,5
3104,Chevrolet Cruze LTZ,2,"70,000",Dieel,Manual,4th Owner,2013,2987,5
3105,BMW X1 Drive 20d xLine,30,"25,000",Dieel,Automatic,1t Owner,2019,999,5
3106,Mahindra TUV 300 T6 Plu,4.9,"1,20,000 ",Dieel,Manual,1t Owner,2016,1298,5
3107,Honda Civic 1.8  MT,2,"1,00,000 ",Petrol,Manual,3rd Owner,2011,1198,5
3108,Hyundai i10 Magna,1.5,"50,000",Petrol,Manual,1t Owner,2009,2143,5
3109,Maerati Ghibli Dieel BIV,66,"12,000",Dieel,Automatic,1t Owner,2016,796,5
3110,Renault Triber RXZ BIV,5.5,"25,000",Petrol,Manual,1t Owner,2019,1248,5
3111,Maruti Eteem Lxi,1.2,"20,000",Petrol,Manual,1t Owner,2007,1396,5
3112,Honda Amaze E i-Vtech,2.6,"80,000",Petrol,Manual,4th Owner,2016,2967,5
3113,Mercede-Benz C-Cla C 220 CDI Avantgarde,21.5,"37,000",Dieel,Automatic,2nd Owner,2015,1248,5
3114,Maruti Alto LXi,1.61,"80,000",Petrol,Manual,1t Owner,2012,1197,5
3115,Maruti wift Ldi BIII,2,"1,20,000 ",Dieel,Manual,2nd Owner,2010,796,5
3116,Tata Indica eV2 eL,"75,000","90,000",Dieel,Manual,2nd Owner,2011,1991,7
3117,Porche Cayenne Dieel Platinum Edition,58,"50,000",Dieel,Automatic,1t Owner,2016,1499,5
3118,Maruti wift VDI,3,"80,000",Dieel,Manual,2nd Owner,2013,1396,5
3119,Hyundai i20 1.2 Magna,2,"1,20,000 ",Petrol,Manual,2nd Owner,2011,2179,5
3120,Maruti Omni MPI TD BIV,2.5,"10,000",Petrol,Manual,1t Owner,2018,1997,5
3121,Mercede-Benz E-Cla Excluive E 200,67,"8,900",Petrol,Automatic,1t Owner,2021,1298,5
3122,Ford Apire Titanium Plu Dieel,8.5,"15,000",Dieel,Manual,1t Owner,2021,1197,7
3123,Hyundai i20 Active 1.4 X,4.5,"1,00,000 ",Dieel,Manual,2nd Owner,2015,796,5
3124,Mahindra XUV500 W6 2WD,7,"70,000",Dieel,Manual,2nd Owner,2014,1950,5
3125,Land Rover Range Rover port 2.0 Petrol HE,1.14 Crore,"19,500",Petrol,Automatic,1t Owner,2020,2609,7
3126,Maruti wift Dzire VXi,3,"85,000",Petrol,Manual,1t Owner,2009,1248,5
3127,Maruti wift VXI 2018,5.45,"43,000",Petrol,Manual,1t Owner,2019,1248,5
3128,Maruti Alto LX,1,"70,000",Petrol,Manual,1t Owner,2010,4461,8
3129,Mercede-Benz C-Cla Progreive C 200,42.5,"28,000",Petrol,Automatic,1t Owner,2019,796,5
3130,Mahindra corpio 2.6 CRDe LE,3.1,"90,000",Dieel,Manual,2nd Owner,2009,1199,5
3131,Maruti wift VDI BIV,1.7,"1,28,000 ",Dieel,Manual,4th Owner,2008,2179,5
3132,Maruti Vitara Brezza ZDi Plu,6.95,"80,000",Dieel,Manual,2nd Owner,2017,1998,5
3133,Toyota Land Cruier VX,1.69 Crore,"27,000",Dieel,Automatic,1t Owner,2019,1199,4
3134,Maruti Alto 800 LXI,2.5,"50,000",Petrol,Manual,2nd Owner,2017,1198,5
3135,Tata Tiago 1.2 Revotron XZ,4.54,"40,000",Petrol,Manual,1t Owner,2019,1120,5
3136,Mahindra corpio 2.6 LX CRDe,1.1,"80,000",Dieel,Manual,1t Owner,2006,1998,5
3137,BMW X1 Drive20i xLine,40,"10,000",Petrol,Automatic,1t Owner,2021,1493,5
3138,Tata Altroz XM plu,7,"30,000",Petrol,Manual,1t Owner,2021,1248,5
3139,Datun GO A,2.7,"1,10,000 ",Petrol,Manual,2nd Owner,2017,796,5
3140,Hyundai Xcent 1.1 CRDi ,2.9,"90,000",Dieel,Manual,2nd Owner,2014,2400,5
3141,Mini 3 DOOR John Cooper Work 2019-2020,34.5,"40,000",Petrol,Automatic,2nd Owner,2017,1197,7
3142,Hyundai Venue X Opt Dieel,9.5,"60,000",Dieel,Manual,1t Owner,2020,1197,5
3143,Maruti Vitara Brezza ZDi Plu,7,"80,000",Dieel,Manual,3rd Owner,2017,1197,5
3144,Maruti Alto LXi,1.2,"1,10,000 ",Petrol,Manual,2nd Owner,2009,1999,5
3145,Volvo XC60 D5 Incription,54.5,"34,000",Dieel,Automatic,1t Owner,2019,1299,5
3146,Maruti wift Dzire VXI,6.5,"35,000",Petrol,Manual,1t Owner,2021,998,5
3147,Toyota Etio Cro 1.2L G,5.5,"60,000",Petrol,Manual,1t Owner,2019,1086,5
3148,Hyundai Grand i10 portz,4,"90,000",Petrol,Manual,1t Owner,2017,1086,5
3149,Land Rover Dicovery port TD4 HE 7,48.75,"38,000",Dieel,Automatic,1t Owner,2020,999,5
3150,Ford Ikon 1.3 Flair,"50,000","45,000",Petrol,Manual,2nd Owner,2007,998,5
3151,Maruti Wagon R LXI,"75,000","1,20,000 ",Petrol,Manual,1t Owner,2005,1248,5
3152,Hyundai antro Xing GL,1.05,"70,000",Petrol,Manual,2nd Owner,2010,2925,5
3153,Hyundai i10 portz 1.1L,1.8,"1,11,408 ",Petrol,Manual,1t Owner,2011,814,5
3154,Ford Ecoport 1.0 Ecoboot Titanium,3.13,"70,000",Petrol,Manual,2nd Owner,2013,796,5
3155,Maruti Celerio VXI,2.05,"80,000",Petrol,Manual,3rd Owner,2015,999,7
3156,Maruti Vitara Brezza ZDi Plu Dual Tone,6.8,"80,000",Dieel,Manual,1t Owner,2017,1197,5
3157,Mercede-Benz -Cla  350d,1.77 Crore,"1,400",Dieel,Automatic,1t Owner,2022,1493,5
3158,Hyundai EON Magna Plu,1.95,"60,000",Petrol,Manual,2nd Owner,2014,1462,7
3159,Maruti Alto LXi BIII,"80,000","80,000",Petrol,Manual,4th Owner,2008,1196,5
3160,Renault KWID Climber 1.0 AMT,3,"15,000",Petrol,Automatic,1t Owner,2019,1396,5
3161,Hyundai Xcent 1.2 VTVT ,4.65,"90,000",Petrol,Manual,1t Owner,2019,2179,5
3162,Hyundai Creta E Dieel,10.85,"56,040",Dieel,Manual,1t Owner,2020,1086,5
3163,Maruti Ertiga VXI,8.49,"69,305",Petrol,Manual,1t Owner,2021,1248,7
3164,Ford Figo Petrol Titanium,2.35,"66,974",Petrol,Manual,3rd Owner,2014,1396,5
3165,Tata Indigo LX BIV,1.4,"2,27,904 ",Dieel,Manual,1t Owner,2014,796,7
3166,Mahindra corpio 11,17.11,"40,670",Dieel,Manual,1t Owner,2021,2179,5
3167,Hyundai antro Magna,4.36,"17,535",Petrol,Manual,1t Owner,2020,1248,5
3168,Maruti X4  Cro Zeta DDi 200 H,7.5,"80,243",Dieel,Manual,2nd Owner,2018,2982,5
3169,Tata Indigo VX BIV,2.02,"61,549",Dieel,Manual,1t Owner,2014,1198,5
3170,Maruti Alto 800 LXI,1.7,"89,345",Petrol,Manual,2nd Owner,2014,1198,5
3171,Mahindra corpio 9 BIV,13.03,"95,790",Dieel,Manual,1t Owner,2019,1799,8
3172,Maruti wift VDI BIV,4.25,"77,173",Dieel,Manual,1t Owner,2015,1198,5
3173,Toyota Fortuner 4x4 MT,11.75,"1,69,917 ",Dieel,Manual,2nd Owner,2013,1086,5
3174,Honda Brio VX,3.37,"46,224",Petrol,Manual,1t Owner,2015,2494,5
3175,Nian Micra Active XV,3.96,"23,947",Petrol,Manual,1t Owner,2017,1197,5
3176,Honda Civic 1.8 V MT,1.8,"50,546",Petrol,Manual,2nd Owner,2008,1172,5
3177,Honda Amaze  i-Vtech,3.2,"61,229",Petrol,Manual,1t Owner,2015,999,5
3178,Hyundai i10 Magna LPG,1.76,"85,122",Lpg,Manual,3rd Owner,2011,1120,5
3179,Toyota Innova 2.5 GX (Dieel) 8 eater B IV,7.18,"46,286",Dieel,Manual,1t Owner,2014,814,5
3180,Maruti Baleno igma,5.87,"8,110",Petrol,Manual,1t Owner,2020,1086,5
3181,Fiat Grande Punto EVO 1.2 Active,2.18,"64,712",Petrol,Manual,2nd Owner,2015,998,5
3182,Renault KWID Climber 1.0 AMT,2.97,"52,698",Petrol,Automatic,1t Owner,2017,799,5
3183,Hyundai Grand i10 CRDi portz,2.9,"1,20,797 ",Dieel,Manual,2nd Owner,2016,1462,5
3184,Hyundai EON Era Plu Option,2.68,"39,109",Petrol,Manual,1t Owner,2017,796,7
3185,Hyundai i10 Era 1.1,1.49,"21,046",Petrol,Manual,1t Owner,2009,1364,5
3186,Maruti Wagon R VXI B IV,2.63,"34,794",Petrol,Manual,1t Owner,2014,1498,5
3187,Renault KWID RXT Optional,3.05,"33,614",Petrol,Manual,1t Owner,2018,2179,7
3188,Maruti Ciaz Zeta,9.5,"9,630",Petrol,Manual,1t Owner,2022,1248,5
3189,Maruti Alto LXi,1.1,"72,153",Petrol,Manual,3rd Owner,2011,1956,5
3190,Toyota Platinum Etio 1.4 GD,5.65,"78,172",Dieel,Manual,1t Owner,2019,1462,5
3191,Honda City i-DTEC V,7.92,"64,313",Dieel,Manual,1t Owner,2018,1364,5
3192,Mahindra XUV500 W11 BIV,15.62,"74,787",Dieel,Manual,1t Owner,2020,1248,5
3193,Maruti wift Dzire ZDI Plu,6.71,"92,045",Dieel,Manual,1t Owner,2019,998,5
3194,Jeep Compa 2.0 Limited,12.03,"48,259",Dieel,Manual,3rd Owner,2018,814,4
3195,Maruti Ertiga VXI Petrol,7.41,"21,197",Petrol,Manual,1t Owner,2019,1497,7
3196,Toyota Etio VD,3.4,"13,814",Dieel,Manual,1t Owner,2012,1451,5
3197,Maruti Baleno 1.3 Delta,4.54,"85,890",Dieel,Manual,1t Owner,2015,624,5
3198,Maruti Wagon R LXI B IV,1.33,"1,01,935 ",Petrol,Manual,1t Owner,2010,999,5
3199,Hyundai EON Era Plu,2.83,"26,012",Petrol,Manual,1t Owner,2018,1497,7
3200,Honda City V MT,3.13,"1,17,699 ",Petrol,Manual,2nd Owner,2012,1197,7
3201,MG Hector Hybrid harp MT,18.07,"31,437",Petrol,Manual,2nd Owner,2021,999,7
3202,Tata Nano Twit XTA,1.44,"14,458",Petrol,Automatic,1t Owner,2015,2494,5
3203,Renault Triber RXL BIV,5.02,"55,744",Petrol,Manual,1t Owner,2019,2179,5
3204,Honda City i VTEC V,5.45,"10,411",Petrol,Manual,1t Owner,2015,1198,5
3205,Maruti wift Dzire VXI 1.2,6.11,"43,627",Petrol,Manual,1t Owner,2019,1197,7
3206,Renault KWID 1.0 RXT Optional AT 2016-2019,2.35,"31,306",Petrol,Automatic,1t Owner,2017,1995,5
3207,Toyota Innova 2.5 GX (Dieel) 7 eater B IV,6.53,"3,08,768 ",Dieel,Manual,2nd Owner,2015,1197,5
3208,Mahindra XUV500 W7 AT BIV,12.35,"55,209",Dieel,Automatic,1t Owner,2018,1462,5
3209,Datun GO Plu T BIV,3.04,"18,732",Petrol,Manual,1t Owner,2017,1198,5
3210,Hyundai Grand i10 Nio portz CNG,7.41,"30,273",Cng,Manual,1t Owner,2021,1197,5
3211,BMW X4 M port X xDrive20d,56.5,"29,000",Dieel,Automatic,1t Owner,2019,1591,5
3212,Hyundai Grand i10 1.2 Kappa portz BIV,4.62,"47,841",Petrol,Manual,1t Owner,2018,1248,5
3213,Maruti Ertiga VXI,8.49,"3,707",Petrol,Manual,1t Owner,2020,999,5
3214,Honda Amaze  i-Vtech,3.79,"1,04,596 ",Petrol,Manual,1t Owner,2016,1248,7
3215,Hyundai i10 portz,2.63,"60,162",Petrol,Manual,1t Owner,2013,799,5
3216,Hyundai Creta 1.6 Gamma X Plu,7.8,"72,434",Petrol,Manual,1t Owner,2015,998,5
3217,Maruti wift VDI,2.7,"96,906",Dieel,Manual,3rd Owner,2012,2755,5
3218,Renault KWID 1.0 RXT AMT Opt,4.45,"4,603",Petrol,Automatic,1t Owner,2020,1497,5
3219,Maruti wift VDI BIV,3.7,"63,740",Dieel,Manual,2nd Owner,2014,1396,5
3220,Renault KWID RXT,2.49,"53,827",Petrol,Manual,1t Owner,2016,1197,5
3221,Kia onet HTX Turbo iMT,10.37,"13,997",Petrol,Manual,1t Owner,2021,1299,7
3222,Toyota Fortuner 2.8 2WD MT BIV,19.8,"1,20,949 ",Dieel,Manual,2nd Owner,2017,1248,5
3223,Honda City i VTEC V,6.44,"42,189",Petrol,Manual,1t Owner,2017,1086,5
3224,Hyundai i20 1.4 CRDi portz,2.83,"34,341",Dieel,Manual,1t Owner,2012,1493,6
3225,Hyundai Grand i10 Nio portz,6.59,"18,881",Petrol,Manual,1t Owner,2020,993,5
3226,Ford Ikon 1.3 CLXi,"72,494","1,27,335 ",Petrol,Manual,2nd Owner,2009,1248,5
3227,Maruti Vitara Brezza VDi,7.5,"26,201",Dieel,Manual,1t Owner,2019,1462,7
3228,Hyundai i10 portz 1.1L,2.48,"1,07,263 ",Petrol,Manual,1t Owner,2014,998,5
3229,Mahindra Bolero Power Plu LX,6.13,"58,245",Dieel,Manual,1t Owner,2017,1499,7
3230,Maruti Zen LXI,"50,718","1,42,740 ",Petrol,Manual,2nd Owner,2006,2755,5
3231,Maruti wift VDI BIV,4.25,"51,755",Dieel,Manual,1t Owner,2015,1193,7
3232,Maruti XL6 Zeta,9.54,"84,284",Petrol,Manual,1t Owner,2020,2179,5
3233,Maruti Wagon R LXI B IV,2.76,"94,087",Petrol,Manual,1t Owner,2015,998,5
3234,Ford Fieta Petrol Titanium,2.78,"56,292",Petrol,Manual,1t Owner,2011,2393,5
3235,Toyota Fortuner 2.8 2WD MT,29.32,"91,604",Dieel,Manual,2nd Owner,2020,2179,5
3236,Tata Zet Revotron 1.2 XT,2.66,"56,290",Petrol,Manual,1t Owner,2015,1248,5
3237,Mahindra XUV500 W8 2WD,6.01,"41,086",Dieel,Manual,4th Owner,2015,1364,7
3238,Maruti Alto K10 VXI,2.6,"38,137",Petrol,Manual,1t Owner,2016,1197,5
3239,Toyota Innova Cryta 2.4 GX 7 TR AT,22.16,"11,724",Dieel,Automatic,1t Owner,2022,1120,5
3240,Tata afari torme LX,5.29,"1,11,023 ",Dieel,Manual,4th Owner,2016,2198,5
3241,Chevrolet ail Hatchback L AB,2.54,"63,936",Dieel,Manual,1t Owner,2013,1461,5
3242,Toyota Etio GD,2.96,"2,29,289 ",Dieel,Manual,1t Owner,2013,1497,5
3243,Hyundai i20 1.2 Ata,5.63,"21,292",Petrol,Manual,1t Owner,2017,1396,5
3244,Hyundai Grand i10 CRDi Magna,3.48,"99,561",Dieel,Manual,1t Owner,2016,1193,5
3245,Ford Endeavour 2.2 Trend AT 4X2,13.38,"1,03,066 ",Dieel,Automatic,2nd Owner,2016,998,5
3246,Renault Duter 110P Dieel RxL,3.62,"1,02,141 ",Dieel,Manual,2nd Owner,2014,1498,5
3247,Ford Ecoport 1.5 Petrol Titanium BIV,6.35,"49,320",Petrol,Manual,1t Owner,2017,796,5
3248,Tata Indigo LX BIV,1.72,"43,239",Dieel,Manual,1t Owner,2015,1497,5
3249,Tata Indigo Emax CNG GL,2.47,"1,12,051 ",Cng,Manual,1t Owner,2017,1199,5
3250,Maruti Celerio ZXI AMT BIV,3.46,"7,999",Petrol,Automatic,2nd Owner,2017,5461,4
3251,Ford Ecoport 1.5 DV5 MT Trend,3.81,"86,269",Dieel,Manual,1t Owner,2013,1197,5
3252,Maruti Alto LXi BIII,1.2,"15,166",Petrol,Manual,1t Owner,2010,3996,5
3253,Tata Tigor EV XM,6.31,"25,882",Electric,Automatic,1t Owner,2019,1582,5
3254,Honda City 1.5  AT,2.69,"57,209",Petrol,Automatic,1t Owner,2009,1950,5
3255,Volkwagen CroPolo 1.2 TDI,3.38,"94,848",Dieel,Manual,3rd Owner,2013,1061,5
3256,Mercede-Benz G G63 AMG,1.52 Crore,"47,000",Petrol,Automatic,2nd Owner,2017,1950,5
3257,Hyundai Xcent 1.2 VTVT ,4.79,"9,669",Petrol,Manual,1t Owner,2018,1956,5
3258,Porche Panamera GT,1.75 Crore,"10,000",Petrol,Automatic,1t Owner,2019,1061,5
3259,Hyundai Verna 1.6 X,4.11,"1,11,246 ",Dieel,Manual,3rd Owner,2014,1991,5
3260,Mercede-Benz E-Cla Excluive E 220 d BIV,44,"44,000",Dieel,Automatic,1t Owner,2017,1396,7
3261,Maruti Wagon R VXI Minor,1.43,"55,118",Petrol,Manual,1t Owner,2010,1197,5
3262,Mercede-Benz E-Cla Excluive E 220 d BIV,43.5,"39,000",Dieel,Automatic,1t Owner,2017,2393,5
3263,Tata Harrier XT plu Dark Edition,11.91,"1,28,924 ",Dieel,Manual,1t Owner,2021,1197,5
3264,Maruti Wagon R LX Minor,1.06,"55,842",Petrol,Manual,1t Owner,2010,998,5
3265,Mercede-Benz GLC 200,56.5,"32,000",Petrol,Automatic,1t Owner,2020,1582,5
3266,Hyundai i20 1.4 CRDi Ata,2.85,"96,732",Dieel,Manual,1t Owner,2012,1493,5
3267,Hyundai Grand i10 Ata,3.33,"38,370",Petrol,Manual,1t Owner,2014,1248,5
3268,Toyota Innova Cryta 2.4 G MT BIV,9.06,"1,26,401 ",Dieel,Manual,2nd Owner,2017,998,5
3269,Hyundai i20 Active 1.2 ,5.14,"44,357",Petrol,Manual,2nd Owner,2017,1197,7
3270,Maruti Wagon R LXI B IV,2.23,"60,545",Petrol,Manual,1t Owner,2013,1120,5
3271,Hyundai Verna 1.6 X,3.17,"1,32,004 ",Dieel,Manual,3rd Owner,2012,2179,5
3272,Kia elto HTK Plu D,13.25,"7,000",Dieel,Manual,1t Owner,2021,1248,8
3273,Maruti Vitara Brezza ZDi,8.05,"36,096",Dieel,Manual,1t Owner,2019,1197,5
3274,Maruti Wagon R VXI,5.23,"9,264",Petrol,Manual,1t Owner,2021,2494,5
3275,Hyundai Grand i10 Ata Option,2.58,"1,12,870 ",Petrol,Manual,1t Owner,2013,1198,8
3276,Hyundai Xcent 1.1 CRDi ,2.97,"56,522",Dieel,Manual,2nd Owner,2014,998,5
3277,Mahindra corpio 11 BIV,12.51,"74,206",Dieel,Manual,1t Owner,2018,2393,5
3278,Maruti wift Dzire VDI,6.65,"70,000",Dieel,Manual,1t Owner,2018,1047,5
3279,Hyundai i20 1.2 Ata Option,5.63,"50,924",Petrol,Manual,2nd Owner,2018,1197,5
3280,Toyota Innova 2.5 GX (Dieel) 8 eater B IV,7.74,"55,681",Dieel,Manual,1t Owner,2015,998,5
3281,Tata Nexon 1.2 Revotron XM,6.46,"13,308",Petrol,Manual,1t Owner,2019,998,7
3282,Maruti Zen Etilo LXI B IV,1.67,"27,420",Petrol,Manual,1t Owner,2011,1248,5
3283,Toyota Innova Cryta 2.4 VX MT 8 BIV,15.05,"1,43,696 ",Dieel,Manual,1t Owner,2018,1999,4
3284,Tata Tiago 1.05 Revotorq XT,3.74,"1,17,792 ",Dieel,Manual,1t Owner,2017,2995,6
3285,Maruti wift Dzire AMT VXI,5.19,"47,131",Petrol,Automatic,1t Owner,2017,1991,5
3286,Maruti Wagon R LXI CNG,1.95,"1,04,155 ",Cng,Manual,1t Owner,2012,1950,8
3287,Maruti A-tar Lxi,1.6,"54,573",Petrol,Manual,1t Owner,2011,1498,5
3288,Maruti Baleno 1.3 Zeta,5.88,"84,143",Dieel,Manual,3rd Owner,2019,2494,7
3289,Land Rover Dicovery port TD4 HE Luxury,48,"46,000",Dieel,Automatic,1t Owner,2019,1199,5
3290,Audi Q8 55 TFI Quattro,1.02 Crore,"28,000",Petrol,Automatic,1t Owner,2021,4134,5
3291,Mercede-Benz C-Cla C300 Cabriolet,68,"30,000",Petrol,Automatic,1t Owner,2019,998,5
3292,Mercede-Benz V-Cla Excluive,59,"47,000",Dieel,Automatic,2nd Owner,2019,1197,5
3293,Ford Ecoport Titanium Dieel,7.35,"46,029",Dieel,Manual,1t Owner,2021,1396,7
3294,Toyota Innova 2.5 GX (Dieel) 8 eater B IV,7.8,"2,05,479 ",Dieel,Manual,2nd Owner,2016,1248,5
3295,Tata Nexon XMA AMT ,9.99,"39,353",Petrol,Automatic,1t Owner,2020,2755,7
3296,Audi Q7 4.2 TDI quattro,17.26,"80,087",Dieel,Automatic,3rd Owner,2011,1950,5
3297,Kia onet HTX Turbo iMT,10.62,"14,067",Petrol,Manual,1t Owner,2021,1462,5
3298,Maruti Baleno Delta,6.69,"13,341",Petrol,Manual,1t Owner,2021,1197,5
3299,Hyundai i20 Active 1.4 X,5.74,"59,326",Dieel,Manual,2nd Owner,2017,1798,5
3300,Maruti wift VDI BIV,3.51,"71,093",Dieel,Manual,1t Owner,2014,1197,5
3301,Toyota Fortuner 2.8 4WD AT BIV,32,"94,000",Dieel,Automatic,1t Owner,2018,796,7
